game_id,game_name,status,ticket_price,overall_odds,top_prize_amount,top_prizes_remaining,top_prizes_total,top_prize_percent_remaining,est_tickets_remaining,est_tickets_total,percent_sold,expected_value,last_updated
1599,"$1,000 A WEEK FOR LIFE",ACTIVE,2,4.19,"$1,000 WK/LIFE",1,4,25.0,2596137,22353181,88.39,1.13,2026-09-18 03:10:14
1584,$100K GOLD RUSH MULTIPLIER,ACTIVE,2,4.54,"$100,000.00",0,10,0.0,3170650,27642394,88.53,1.1,2026-09-18 03:10:13
1636,LUCKY BUCKS,ACTIVE,1,4.72,"$10,000.00",17,24,70.83,18742053,24935425,24.84,0.61,2026-09-18 03:10:12
1619,10X THE CASH,ACTIVE,1,4.66,"$10,000.00",34,56,60.71,33682447,52960728,36.4,0.61,2026-09-18 03:10:14
1583,$10K GOLD RUSH MULTIPLIER,ACTIVE,1,4.65,"$10,000.00",22,64,34.38,18484299,55253639,66.55,0.59,2026-09-18 03:10:13
1624,FAST $50’s,ACTIVE,1,4.84,"$5,000.00",2,12,16.67,3213949,11422889,71.86,0.58,2026-09-18 03:10:12
1575,"$5,000 HOLIDAY BLOWOUT",ACTIVE,1,4.91,"$5,000.00",3,16,18.75,5689163,19377659,70.64,0.57,2026-09-18 03:10:13
1609,"$10,000 HOLIDAY CA$H",ACTIVE,1,4.83,"$10,000.00",1,4,25.0,2947783,13136296,77.56,0.54,2026-09-18 03:10:13
1598,$500 A WEEK FOR LIFE,ACTIVE,1,4.83,$500 WK/LIFE,1,4,25.0,3715767,19422285,80.87,0.5,2026-09-18 03:10:14
1589,"$25, $50, OR $100",ENDED / RETIRED,5,0.0,$100,0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
5031,$500 Cash Bonanza,ENDED / RETIRED,10,0.0,$500,0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1550,"$2,000,000 100X Cashword",ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1579,2025,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1563,$100 LOADED,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1536,$50 Frenzy,ENDED / RETIRED,1,0.0,$50,0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1548,2024,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1454,$500 Madness,ENDED / RETIRED,10,0.0,$500,0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1592,Treasure Hunt,ENDED / RETIRED,3,0.0,"$150,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1580,Loteria®,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1541,Aces And 8s,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
7023,Big Ol'Bens,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1516,Bingo Doubler,ENDED / RETIRED,3,0.0,"$150,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1549,Bingo Night,ENDED / RETIRED,3,0.0,"$150,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1515,"$5,000 Crossword",ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
5022,3 Times Lucky,ENDED / RETIRED,1,0.0,"$3,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1603,777s,ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
7021,Bonus Cash,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:12
1499,Crossword Cash,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1521,Cash Eruption,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1537,Cash Drop,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
5050,Cash On The Spot,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1297,"$50,000 Flamingo Multiplier",ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
7027,Fast $200s™,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1571,Double Cash,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
5061,Double Your Money,ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
5044,Florida 10x the Cash,ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1570,FAST LOOT,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1528,$10 Gold Rush Doubler,ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1559,Double It,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1540,Fast Bucks,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1574,Gold Rush Multiplier,ENDED / RETIRED,30,0.0,"$15,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1525,$1 Gold Rush Doubler,ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1501,Gold Rush Limited,ENDED / RETIRED,20,0.0,"$5,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1585,"$1,000,000 GOLD RUSH MULTIPLIER	",ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
